Time,X,Y,Pitch,Roll,Yaw
76.949,0.046,-0.290,-1.655,-3.851,1.309,
77.108,0.169,-0.314,-1.324,-2.755,1.348,
77.281,0.128,-0.357,-1.275,-3.189,1.250,
77.442,0.048,-0.343,0.411,-3.032,1.341,
77.590,0.108,-0.141,0.030,-3.441,1.401,
77.751,0.107,-0.159,-0.546,-2.844,1.331,
77.915,0.146,-0.288,0.305,-2.988,1.384,
78.080,0.082,-0.357,-0.679,-3.004,1.331,
78.243,0.062,-0.366,-0.270,-3.300,1.368,
78.390,0.115,-0.041,0.333,-3.634,1.313,
78.541,0.114,-0.311,-0.782,-0.412,1.513,
78.694,0.055,-0.183,-1.268,-3.242,1.318,
78.863,0.049,-0.331,-1.025,-3.131,1.329,
79.036,0.056,-0.524,-0.015,-2.927,1.402,
79.203,0.091,0.024,-0.254,-2.948,1.510,
79.368,0.052,-0.271,-0.186,-2.788,1.362,
79.542,0.000,-0.394,-0.870,-3.116,1.397,
79.718,0.105,-0.090,-1.043,-2.854,1.425,
79.877,0.064,-0.184,-0.860,-3.066,1.367,
80.042,-0.087,-0.445,-1.123,-2.704,1.323,
80.209,0.014,-0.476,-1.968,-3.532,1.121,
80.374,0.003,-0.406,-0.975,-2.975,1.272,
80.537,0.047,-0.330,-1.396,-2.760,1.273,
80.720,0.038,-0.399,2.371,-0.241,1.174,
80.888,0.089,-0.456,-1.232,-2.982,1.224,
81.044,-0.070,-0.326,-1.210,-3.454,1.168,
81.202,0.031,-0.367,-1.213,-3.345,1.165,
81.348,-0.042,-0.395,-1.270,-2.517,1.246,
81.504,0.161,-0.245,-2.008,-3.084,1.327,
